amfi_code,CAGR,Sharpe,Alpha,Expense,Drawdown,Final_Score
100016,0.1,0.15,0.05,0.19999999999999996,0.825,19.0
100025,0.125,0.05,0.075,0.95,0.07499999999999996,21.5
100033,0.85,0.85,0.85,0.575,0.475,77.125
101206,0.725,0.8,0.7,0.08750000000000002,0.19999999999999996,59.0625
101207,0.35,0.325,0.35,0.2875,0.925,39.1875
101208,0.225,0.025,0.2,0.725,0.050000000000000044,22.75
102885,0.575,0.625,0.55,0.15000000000000002,0.15000000000000002,47.625
102886,0.025,0.125,0.025,0.38749999999999996,0.85,18.6875
102887,0.525,0.475,0.525,0.012499999999999956,0.725,45.5625
118632,0.75,0.825,0.725,0.38749999999999996,0.55,68.9375
118633,0.475,0.5,0.475,0.8625,0.625,55.4375
118634,0.5,0.375,0.6,0.2875,0.775,48.4375
118635,0.45,0.55,0.45,0.675,0.22499999999999998,48.625
118636,0.15,0.075,0.15,0.975,0.125,25.25
119092,0.2,0.25,0.25,0.012499999999999956,0.35,20.9375
119093,0.325,0.3,0.325,0.8,0.75,43.25
119094,0.8,0.75,0.8,0.575,0.675,74.125
119095,0.05,0.2,0.1,0.575,0.95,26.625
119120,0.175,0.1,0.175,0.775,0.09999999999999998,23.875
119551,0.775,0.925,0.775,0.23750000000000004,0.4,69.4375
119552,0.65,0.725,0.65,0.9,0.25,66.625
119598,0.975,0.675,1.0,0.475,0.875,82.0
119599,0.075,0.225,0.125,0.8625,0.975,33.0625
120503,0.6,0.6,0.575,0.5,0.32499999999999996,55.25
120504,0.7,0.775,0.75,0.7,0.275,68.625
120505,1.0,0.9,0.95,0.625,0.6,86.875
120506,0.55,0.525,0.5,0.525,0.65,54.0
120507,0.3,0.45,0.275,0.825,0.0,38.125
120841,0.425,0.425,0.4,0.125,0.575,39.0
120842,0.25,0.275,0.3,0.17500000000000004,0.8,31.0
120843,0.875,0.975,0.9,0.44999999999999996,0.30000000000000004,78.375
120844,0.275,0.175,0.225,0.925,0.025000000000000022,31.25
125497,0.625,0.575,0.625,0.65,0.42500000000000004,59.625
125498,0.375,0.35,0.375,0.75,0.7,45.75
148567,0.9,1.0,0.875,0.42500000000000004,0.17500000000000004,77.625
148568,0.675,0.65,0.675,0.3375,0.44999999999999996,59.5625
148569,0.925,0.95,0.925,0.08750000000000002,0.5,76.3125
149322,0.4,0.4,0.425,0.23750000000000004,0.375,37.8125
149323,0.825,0.875,0.825,0.050000000000000044,0.525,69.125
149324,0.95,0.7,0.975,0.3375,0.9,79.5625
